OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_SELL,301.59496,0.132,0,39.81053472,2018/1/1 16:07,2018/1/1 16:07
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_BUY,342.49732,0.000025,0,0.008562433,2017/12/21 8:33,2017/12/21 8:33
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_SELL,2406751.94,0.000018,0,43.32153492,2017/12/21 8:28,2017/12/21 8:28
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_SELL,0.05555,0.000018,0,1.00E-06,2017/12/21 8:28,2017/12/21 8:28
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_SELL,2432432.432,0.000019,0,46.21621622,2017/12/21 8:28,2017/12/21 8:28
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_SELL,554451.4477,0.00002,0,11.08902895,2017/12/21 8:27,2017/12/21 8:27
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_SELL,343724.9655,0.000015,0,5.155874483,2017/12/20 21:49,2017/12/20 21:49
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_SELL,211703.8198,0.0625,0,13231.48874,2017/12/17 17:47,2017/12/17 17:47
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_SELL,35051.5889,0.0625,0,2190.724306,2017/12/17 17:47,2017/12/17 17:47
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,0.00434,0.002304,0,1.00E-05,2017/12/17 10:32,2017/12/17 10:32
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,576858.9881,0.0023,0,1326.775673,2017/12/17 10:32,2017/12/17 10:32
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,666508.9265,0.00174,0,1159.725532,2017/12/17 8:48,2017/12/17 8:48
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,499915.6118,0.00152,0,759.8717299,2017/12/17 6:44,2017/12/17 6:44
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,996849.7083,0.0013,0,1295.904621,2017/12/16 9:53,2017/12/16 9:53
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,139600.3323,0.0013,0,181.480432,2017/12/16 9:44,2017/12/16 9:44
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,344550.6561,0.0013,0,447.9158529,2017/12/16 9:35,2017/12/16 9:35
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,219038.9259,0.00054,0,118.28102,2017/12/15 17:36,2017/12/15 17:36
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,835735.22,0.00054,0,451.2970188,2017/12/15 17:35,2017/12/15 17:35
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,453119.0658,0.00055,0,249.2154862,2017/12/15 17:35,2017/12/15 17:35
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,16584.46415,0.00055,0,9.121455283,2017/12/15 17:06,2017/12/15 17:06
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_SELL,12000.00001,0.00075,0,9.000000008,2017/12/15 17:00,2017/12/15 17:00
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,560116.2126,0.0005,0,280.0581063,2017/12/15 14:46,2017/12/15 14:46
